current_round,start_aggregation,end_aggregation,participant count,actual partipants
10,1743026182.8674712,1743026196.617555,3,"['332dc94f-66c5-4ae6-b3e0-a880c45fb699', '4fb00b44-5dde-4c96-b905-101d638fae1f', 'dd541f0c-974f-4d39-bcdb-6bf29ecc7f5d']"
10,1743026198.85437,1743026198.855314
1,1743026355.753461,1743026386.5375721,3,"['524b295a-f36e-4e60-9f4e-17d0384bf410', '5543e6cf-0be2-4ee6-9170-90a02f194634', '9d453044-5b29-4a5b-b331-451eb93f5a35']"
2,1743026392.4247758,1743026405.705028,3,"['524b295a-f36e-4e60-9f4e-17d0384bf410', '5543e6cf-0be2-4ee6-9170-90a02f194634', '9d453044-5b29-4a5b-b331-451eb93f5a35']"
3,1743026407.898504,1743026420.600492,3,"['524b295a-f36e-4e60-9f4e-17d0384bf410', '5543e6cf-0be2-4ee6-9170-90a02f194634', '9d453044-5b29-4a5b-b331-451eb93f5a35']"
4,1743026422.712062,1743026436.45359,3,"['524b295a-f36e-4e60-9f4e-17d0384bf410', '5543e6cf-0be2-4ee6-9170-90a02f194634', '9d453044-5b29-4a5b-b331-451eb93f5a35']"
5,1743026438.6783319,1743026449.197797,3,"['524b295a-f36e-4e60-9f4e-17d0384bf410', '5543e6cf-0be2-4ee6-9170-90a02f194634', '9d453044-5b29-4a5b-b331-451eb93f5a35']"
6,1743026453.395521,1743026464.823852,3,"['524b295a-f36e-4e60-9f4e-17d0384bf410', '5543e6cf-0be2-4ee6-9170-90a02f194634', '9d453044-5b29-4a5b-b331-451eb93f5a35']"
7,1743026467.257985,1743026479.236213,3,"['524b295a-f36e-4e60-9f4e-17d0384bf410', '5543e6cf-0be2-4ee6-9170-90a02f194634', '9d453044-5b29-4a5b-b331-451eb93f5a35']"
8,1743026481.4086778,1743026492.2406201,3,"['524b295a-f36e-4e60-9f4e-17d0384bf410', '5543e6cf-0be2-4ee6-9170-90a02f194634', '9d453044-5b29-4a5b-b331-451eb93f5a35']"
9,1743026494.0467598,1743026506.681986,3,"['524b295a-f36e-4e60-9f4e-17d0384bf410', '5543e6cf-0be2-4ee6-9170-90a02f194634', '9d453044-5b29-4a5b-b331-451eb93f5a35']"
10,1743026508.980727,1743026522.898049,3,"['524b295a-f36e-4e60-9f4e-17d0384bf410', '5543e6cf-0be2-4ee6-9170-90a02f194634', '9d453044-5b29-4a5b-b331-451eb93f5a35']"
10,1743026526.905323,1743026526.905617
1,1743026850.7257202,1743026880.870713,3,"['5bc4ab8b-2318-42ec-b971-cca004526bde', '6d8ed8af-dbfa-432b-b538-bbae48e8f9c2', 'ebede549-d96d-41aa-b318-18f456e32be8']"
2,1743026886.51169,1743026898.972488,3,"['5bc4ab8b-2318-42ec-b971-cca004526bde', '6d8ed8af-dbfa-432b-b538-bbae48e8f9c2', 'ebede549-d96d-41aa-b318-18f456e32be8']"
